,DATE,AVG_WND_SPEED,PRCP,SNOW,SNOW_DEPTH,TAVG,TMAX,TMIN,FOG,THUNDER,SLEET_OR_HAIL
53,2015-04-23,15.21,0.0,0.0,0.0,48.0,52,43,0.0,0.0,0.0
54,2015-04-24,16.55,0.0,0.0,0.0,47.0,57,39,0.0,0.0,0.0
55,2015-04-25,9.17,0.0,0.0,0.0,48.0,58,37,0.0,0.0,0.0
56,2015-04-26,7.38,0.0,0.0,0.0,54.0,64,45,0.0,0.0,0.0
57,2015-04-27,11.18,0.0,0.0,0.0,54.0,60,48,0.0,0.0,0.0
58,2015-04-28,13.87,0.0,0.0,0.0,59.0,71,51,0.0,0.0,0.0
59,2015-04-29,8.05,0.0,0.0,0.0,65.0,77,51,0.0,0.0,0.0
60,2015-04-30,11.41,0.0,0.0,0.0,61.0,72,50,0.0,0.0,0.0
61,2015-05-01,8.28,0.0,0.0,0.0,56.0,64,49,0.0,0.0,0.0
62,2015-05-02,4.7,0.0,0.0,0.0,58.0,74,47,0.0,0.0,0.0
63,2015-05-03,4.7,0.0,0.0,0.0,64.0,81,49,0.0,0.0,0.0
64,2015-05-04,8.28,0.0,0.0,0.0,70.0,85,54,0.0,0.0,0.0
65,2015-05-05,8.28,0.0,0.0,0.0,73.0,85,62,0.0,0.0,0.0
66,2015-05-06,7.38,0.0,0.0,0.0,71.0,77,57,1.0,0.0,0.0
67,2015-05-07,5.37,0.0,0.0,0.0,67.0,81,57,0.0,0.0,0.0
68,2015-05-08,5.14,0.0,0.0,0.0,69.0,83,55,1.0,0.0,0.0
69,2015-05-09,5.14,0.03,0.0,0.0,69.0,80,60,1.0,0.0,0.0
70,2015-05-10,7.16,0.0,0.0,0.0,73.0,84,67,1.0,0.0,0.0
71,2015-05-11,6.71,0.0,0.0,0.0,75.0,84,69,1.0,0.0,0.0
72,2015-05-12,13.42,0.0,0.0,0.0,76.0,88,66,0.0,0.0,0.0
73,2015-05-13,15.66,0.0,0.0,0.0,69.0,72,54,0.0,0.0,0.0
74,2015-05-14,8.5,0.0,0.0,0.0,60.0,72,50,0.0,0.0,0.0
75,2015-05-15,8.5,0.0,0.0,0.0,64.0,76,54,0.0,0.0,0.0
76,2015-05-16,6.93,0.33,0.0,0.0,70.0,86,59,1.0,1.0,0.0
77,2015-05-17,6.93,0.01,0.0,0.0,75.0,84,68,1.0,0.0,0.0
78,2015-05-18,7.16,0.03,0.0,0.0,76.0,87,61,1.0,0.0,0.0
79,2015-05-19,7.38,0.01,0.0,0.0,68.0,83,61,1.0,0.0,0.0
80,2015-05-20,12.97,0.0,0.0,0.0,67.0,75,58,0.0,0.0,0.0
81,2015-05-21,4.92,0.18,0.0,0.0,57.0,58,51,0.0,0.0,0.0
82,2015-05-22,13.65,0.0,0.0,0.0,62.0,77,53,0.0,0.0,0.0
83,2015-05-23,9.4,0.0,0.0,0.0,62.0,71,51,0.0,0.0,0.0
84,2015-05-24,8.95,0.0,0.0,0.0,66.0,82,52,0.0,0.0,0.0
85,2015-05-25,11.86,0.0,0.0,0.0,74.0,87,63,0.0,0.0,0.0
86,2015-05-26,12.3,0.0,0.0,0.0,76.0,89,65,0.0,0.0,0.0
87,2015-05-27,10.51,0.6,0.0,0.0,78.0,89,71,0.0,1.0,0.0
88,2015-05-28,7.38,0.0,0.0,0.0,77.0,89,70,0.0,0.0,0.0
89,2015-05-29,7.16,0.0,0.0,0.0,78.0,87,66,0.0,0.0,0.0
90,2015-05-30,9.84,0.0,0.0,0.0,77.0,87,68,0.0,0.0,0.0
91,2015-05-31,10.29,0.0,0.0,0.0,79.0,92,70,0.0,0.0,0.0
92,2015-06-01,10.07,1.96,0.0,0.0,72.0,76,58,1.0,1.0,0.0
93,2015-06-02,10.51,0.3,0.0,0.0,57.0,58,53,1.0,0.0,0.0
94,2015-06-03,9.84,0.01,0.0,0.0,60.0,70,55,0.0,0.0,0.0
95,2015-06-04,10.96,0.0,0.0,0.0,62.0,70,57,0.0,0.0,0.0
96,2015-06-05,6.49,0.13,0.0,0.0,63.0,76,56,1.0,0.0,0.0
