"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-01","4.92",,"0.52",,"0.4","0.0",,"32","21",,"  200","  190",,"17.0","21.9","    1",,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-02","12.08",,"0.00",,"0.0","0.0",,"40","29",,"  320","  320",,"28.0","35.1","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-03","8.05",,"0.61",,"0.1","0.0",,"34","25",,"  220","  200",,"16.1","21.9","    1",,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-04","5.82",,"0.49",,"0.0","0.0",,"43","33",,"  190","  200",,"15.0","23.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-05","10.74",,"0.78",,"7.5","0.0",,"40","20",,"   20","   10",,"21.0","27.1","    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-06","7.83",,"0.00",,"0.0","7.9",,"26","11",,"  350","  350","0.7","18.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-07","9.17",,"0.00",,"0.0","5.9",,"41","11",,"  230","  240","0.6","23.0","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-08","10.51",,"0.00",,"0.0","3.1",,"50","26",,"  280","  270","0.4","25.9","33.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-09","5.37",,"0.00",,"0.0","0.0",,"57","32",,"  280","  270",,"18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-10","3.36",,"0.71",,"0.0","0.0",,"59","32",,"  170","  160",,"12.1","16.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-11","8.95",,"0.00",,"0.0","0.0",,"61","44",,"  280","  310",,"15.0","21.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-12","15.21",,"0.00",,"0.0","0.0",,"52","37",,"  350","  350",,"31.1","40.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-13","7.16",,"0.08",,"0.0","0.0",,"49","30",,"  180","   50",,"13.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-14","5.37",,"0.95",,"0.0","0.0",,"51","38",,"  280","  280",,"13.0","17.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-15","16.33",,"0.00",,"0.0","0.0",,"48","40",,"  320","  280",,"25.9","38.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-16","7.16",,"0.00",,"0.0","0.0",,"55","33",,"  240","  240",,"15.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-17","15.43",,"0.00",,"0.0","0.0",,"68","37",,"  320","  330",,"33.1","40.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-18","14.32",,"0.00",,"0.0","0.0",,"45","32",,"  320","  300",,"31.1","42.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-19","5.14",,"0.00",,"0.0","0.0",,"46","28",,"  360","  290",,"18.1","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-20","10.51",,"0.70",,"3.9","0.0",,"37","32",,"   40","   30","0.2","19.9","23.9","    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-03-21","8.72",,"0.00",,"0.0","3.9",,"53","31",,"  270","  260",,"18.1","23.9","    1",,,,,,,
